Location;Crop;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;
Argentina;Wheat;Tonnes/hectare;1,897;2,181;2,327;2,024;2,167;1,934;2,243;2,609;2,303;2,429;2,491;2,235;2,033;2,539;2,631;2,531;2,626;2,827;1,963;2,535;3,508;3,171;2,574;2,521;2,648;2,580;2,893;3,120;3,094;2,862;2,567;2,941;2,970;3,008;3,035;3,059;3,090;3,123;3,155;3,188;3,219;;;
Australia;Wheat;Tonnes/hectare;1,634;1,470;1,781;1,966;1,136;1,790;2,096;1,842;1,860;2,035;1,821;2,108;0,907;2,000;1,635;2,021;0,917;1,079;1,583;1,573;2,030;2,151;1,761;2,006;1,917;1,974;2,610;1,918;1,692;1,485;2,400;2,021;2,049;2,081;2,108;2,135;2,163;2,193;2,222;2,251;2,279;;;
Brazil;Wheat;Tonnes/hectare;1,434;1,371;1,250;1,478;1,475;1,745;1,604;1,593;1,920;1,130;1,868;1,420;2,227;2,121;2,063;1,271;2,213;2,456;2,070;2,736;2,672;2,311;2,502;2,165;2,260;2,613;3,511;2,088;2,660;2,204;2,717;2,527;2,557;2,590;2,618;2,646;2,675;2,706;2,737;2,767;2,796;;;
BRICS;Wheat;Tonnes/hectare;2,463;2,385;2,571;2,576;2,483;2,489;2,558;2,849;2,452;2,691;2,704;2,799;2,792;2,659;2,865;2,826;3,001;3,065;3,218;3,179;2,987;3,284;3,208;3,362;3,509;3,368;3,616;3,785;3,715;3,762;3,803;3,755;3,782;3,808;3,834;3,858;3,885;3,911;3,938;3,965;3,992;;;
Canada;Wheat;Tonnes/hectare;2,277;2,256;2,160;2,200;2,127;2,247;2,430;2,129;2,255;2,597;2,445;1,945;1,832;2,257;2,641;2,738;2,610;2,332;2,858;2,790;2,809;2,957;2,874;3,598;3,082;2,893;3,581;3,382;3,274;3,384;3,512;3,390;3,492;3,529;3,563;3,597;3,633;3,670;3,707;3,745;3,782;;;
Chile;Wheat;Tonnes/hectare;2,947;3,410;3,377;3,352;3,511;3,549;3,325;4,022;3,531;3,809;4,300;4,272;4,320;4,576;4,576;5,879;6,052;4,568;4,075;5,773;5,816;4,951;5,806;5,326;5,635;6,077;5,996;6,225;6,286;6,004;5,980;6,010;6,039;6,077;6,105;6,129;6,160;6,193;6,225;6,258;6,288;;;
China (People's Republic of);Wheat;Tonnes/hectare;3,194;3,100;3,331;3,519;3,426;3,542;3,734;4,102;3,685;3,947;3,738;3,806;3,777;3,932;4,252;4,275;4,594;4,617;4,762;4,739;4,748;4,837;4,986;5,056;5,264;5,393;5,397;5,481;5,417;5,631;5,742;5,597;5,619;5,646;5,665;5,688;5,710;5,733;5,756;5,779;5,802;;;
Colombia;Wheat;Tonnes/hectare;1,842;2,000;1,744;1,882;2,059;2,114;2,167;2,083;2,053;2,353;1,850;2,133;1,519;1,725;1,870;2,632;2,335;2,125;2,212;2,033;2,243;2,048;1,938;2,331;2,340;1,782;3,347;2,068;2,200;1,000;1,667;1,600;1,618;1,641;1,666;1,690;1,718;1,744;1,771;1,798;1,825;;;
Egypt;Wheat;Tonnes/hectare;5,199;4,815;5,254;5,299;5,002;5,424;5,639;5,597;5,991;6,347;6,342;6,357;6,432;6,501;6,555;6,492;6,429;6,467;6,501;6,384;5,572;6,542;6,583;6,667;6,512;6,590;6,631;6,860;6,296;6,383;6,316;6,466;6,545;6,644;6,747;6,849;6,961;7,071;7,182;7,295;7,406;;;
Ethiopia;Wheat;Tonnes/hectare;1,549;1,549;1,549;1,058;1,130;1,374;1,397;1,292;1,374;1,115;1,163;1,326;1,439;1,388;1,469;1,557;1,520;1,671;1,624;1,827;1,839;2,029;2,110;2,444;2,612;2,870;2,801;2,866;2,986;3,281;3,117;3,208;3,260;3,324;3,380;3,430;3,485;3,540;3,595;3,651;3,707;;;
